ten,gia,giong_nho,nha_san_xuat,quoc_gia,nong_do,dung_tich,loai_ruou,url
Rượu Vang Pháp Château Guion Barrail Bordeaux 2023,,Bordeaux Blend,Château Guion Barrail,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-guion-barrail-bordeaux-2023/
Rượu Vang Pháp Château La Coste Le Rouge 2023,,Blend,Château La Coste,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-la-coste-le-rouge-2023/
Rượu Vang Pháp La Fiole Côtes Du Rhône Rouge Père Anselme 2023,638.000 ₫,Blend,Père Anselme,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/la-fiole-cotes-du-rhone-rouge-pere-anselme-2023/
Rượu Vang Pháp La Fiole Du Pape Châteauneuf-Du-Pape Père Anselme,1.936.000 ₫,Blend,Père Anselme,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/la-fiole-du-pape-chateauneuf-du-pape-pere-anselme/
Rượu Vang Pháp Domaine Faiveley Bourgogne Pinot Noir 2023,1.496.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-bourgogne-pinot-noir-2023/
Rượu Vang Pháp Domaine Faiveley Mercurey Vieilles Vignes 2023,1.754.500 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-mercurey-vieilles-vignes-2023/
Rượu Vang Ý Con Công Vindoro Primitivo,1.270.500 ₫,Primitivo,San Marzano,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vang-con-cong-vindoro-primitivo/
Rượu Vang Ý Con Công Vindoro Negroamaro,1.270.500 ₫,Negroamaro,San Marzano,Vang Ý (Italy),15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vang-y-vindoro/
Rượu Vang Ý F Gold 24 Karat Limited Edition,2.035.000 ₫,Negroamaro,San Marzano,Vang Ý (Italy),15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/f-gold-24-karat-limited-edition/
Rượu Vang Ý 60 Sessantanni Limited Edition (24 Karat Gold),2.057.000 ₫,Primitivo,San Marzano,Vang Ý (Italy),15.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/60-sessantanni-limited-edition-24-karat-gold/
Rượu vang Ý Talò Negroamaro,599.500 ₫,Negroamaro,San Marzano,Vang Ý (Italy),13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/talo-negroamaro/
Rượu vang Ý Talò Primitivo di Manduria,665.500 ₫,Primitivo,San Marzano,Vang Ý (Italy),13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/talo-primitivo/
Rượu Vang Ý Collezione Cinquanta,1.815.000 ₫,Blend,San Marzano,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/collezione-cinquanta/
Rượu Vang Ý Con Công Vindoro 24 Karat Gold 2019,1.754.500 ₫,Negroamaro,San Marzano,Vang Ý (Italy),15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vindoro-24-karat-gold/
Rượu Vang Ý 50 Anniversario,2.420.000 ₫,Blend,San Marzano,Vang Ý (Italy),15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/50-anniversario/
Rượu Vang Ý 62 Anniversario Primitivo di Manduria DOP Riserva,1.815.000 ₫,Primitivo,San Marzano,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/62-anniversario/
Rượu vang Ý Naca Primitivo,544.500 ₫,Primitivo,San Marzano,Vang Ý (Italy),13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/naca-primitivo/
Rượu Vang Ý Grattamacco Bolgheri Rosso,1.386.000 ₫,Blend,Grattamacco,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/grattamacco-bolgheri-rosso/
Rượu vang Pháp Comte de Dauzac Haut-Médoc,869.000 ₫,Bordeaux Blend,Château Dauzac,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/comte-de-dauzac-haut-medoc/
Rượu vang Tây Ban Nha Muga Rioja Reserva,1.254.000 ₫,Blend,Bodegas Muga,Vang Tây Ban Nha,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/vang-tay-ban-nha/muga-reserva/
Rượu Vang Pháp Premius La Réserve Bordeaux Supérieur,506.000 ₫,Bordeaux Blend,Yvon Mau,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/premius-la-reserve-bordeaux-superieur-2019/
Rượu Vang Úc Torbreck The Steading 2020,2.343.000 ₫,Blend,Torbreck,Vang Úc,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-uc/torbreck-the-steading-2020/
Rượu Vang Úc Torbreck The Steading 2022,2.343.000 ₫,Blend,Torbreck,Vang Úc,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-uc/torbreck-the-steading-2022/
Rượu Vang Pháp Domaine Faiveley Marsannay 2022,2.189.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-marsannay-2022/
Rượu Vang Pháp Domaine Faiveley Marsannay 2023,2.189.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-marsannay-2023/
Rượu Vang Pháp Domaine Faiveley Mercurey La Framboisière 2023,2.189.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-mercurey-la-framboisiere-2023/
Rượu Vang Pháp Domaine Faiveley Nuits-Saint-Georges “Les Montroziers” 2022,3.619.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-nuits-saint-georges-les-montroziers-2022/
Rượu Vang Pháp Domaine Faiveley Gevrey-Chambertin Vieilles Vignes 2022,3.729.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-gevrey-chambertin-vieilles-vignes-2022/
Rượu Vang Pháp Domaine Faiveley Beaune 1er Cru Clos De L’Écu Monopole 2022,4.042.500 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-beaune-1er-cru-clos-de-lecu-monopole-2022/
Rượu Vang Pháp Faiveley Chambolle-Musigny 2023,4.246.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/faiveley-chambolle-musigny-2023/
Rượu Vang Pháp Faiveley Vosne-Romanée 2023,4.499.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/faiveley-vosne-romanee-2023/
Rượu Vang Pháp Domaine Faiveley Nuits-Saint-Georges Les Porêts-Saint-Georges 1er Cru 2006,6.314.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-nuits-saint-georges-les-porets-saint-georges-1er-cru-2006/
Rượu Vang Pháp Domaine Faiveley Nuits-Saint-Georges Les Porêts-Saint-Georges 1er Cru 2015,7.453.600 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-nuits-saint-georges-les-porets-saint-georges-1er-cru-2015/
Rượu Vang Pháp Domaine Faiveley Nuits-Saint-Georges Les Porêts-Saint-Georges 1er Cru 2016,6.050.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-nuits-saint-georges-les-porets-saint-georges-1er-cru-2016/
Rượu Vang Pháp Domaine Faiveley Volnay 1er Cru Frémiets 2018,4.779.500 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-volnay-1er-cru-fremiets-2018/
Rượu Vang Pháp Domaine Faiveley Volnay 1er Cru Frémiets 2022,4.779.500 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-volnay-1er-cru-fremiets-2022/
